Nome file,Classe,Sottoclasse,Ampiezza del segnale,Durata,Frequenza,Numero di canali,Fase,Frequenza massima interna,Bit Depth,n_fft,Forma d'onda
0f9867d8-fcf7-40d1-b846-3f7fb8100eb7,Non-Target,Ambient Noise,0.9997864,31.20764172335601,44100,1,-0.23617554,0.0,Signed 16 bit PCM,2048,"(1376257,)"
2b68b3a9-7c0d-4452-bbe5-cc99b5d4fb61,Non-Target,Ambient Noise,1.0,31.20764172335601,44100,1,0.004547119,0.0,Signed 16 bit PCM,2048,"(1376257,)"
2f574049-3325-446c-a8ac-2e5b31e9e32f,Non-Target,Ambient Noise,0.99993896,31.20764172335601,44100,1,-0.06359863,0.0,Signed 16 bit PCM,2048,"(1376257,)"
30679527-fd7a-4cad-8c7d-cb1bcc07604d,Non-Target,Ambient Noise,0.99823,31.20764172335601,44100,1,0.06777954,0.0,Signed 16 bit PCM,2048,"(1376257,)"
f9652ad2-39f5-41b4-a8e4-89171a864f03,Non-Target,Ambient Noise,0.9977417,31.20764172335601,44100,1,0.05316162,0.0,Signed 16 bit PCM,2048,"(1376257,)"
Bioduck,Non-Target,Antarctic Minke Whale,1.0,20.0,44100,1,-0.0045166016,0.0,Signed 16 bit PCM,2048,"(882000,)"
Arnoux-beaked-whales-rogers-1,Non-Target,Arnoux’s Beaked Whale,0.9692993,9.992993197278912,44100,1,-0.1723938,0.0,Signed 16 bit PCM,2048,"(440691,)"
Arnoux-beaked-whales-rogers-2,Non-Target,Arnoux’s Beaked Whale,0.9971924,8.668548752834466,44100,1,-0.17230225,0.0,Signed 16 bit PCM,2048,"(382283,)"
Arnoux-beaked-whales-rogers-3,Non-Target,Arnoux’s Beaked Whale,0.9557495,10.292993197278912,44100,1,-0.7114563,0.0,Signed 16 bit PCM,2048,"(453921,)"
Arnoux-beaked-whales-rogers-4,Non-Target,Arnoux’s Beaked Whale,0.99542236,9.993038548752834,44100,1,-0.07128906,0.0,Signed 16 bit PCM,2048,"(440693,)"
Arnoux-beaked-whales-rogers-5,Non-Target,Arnoux’s Beaked Whale,0.99923706,19.993038548752835,44100,1,-0.024017334,0.0,Signed 16 bit PCM,2048,"(881693,)"
Arnoux-beaked-whales-rogers-6,Non-Target,Arnoux’s Beaked Whale,0.986145,37.24269841269841,44100,1,-0.0017089844,0.0,Signed 16 bit PCM,2048,"(1642403,)"
SanctSound_SB01_01_atlanticcod_20181113T024154Z,Non-Target,Atlantic cod,0.9999695,5.0,44100,1,0.0,0.0,Signed 16 bit PCM,2048,"(220500,)"
Croaker,Non-Target,Atlantic croaker,1.0,11.006281179138321,44100,1,-3.0517578e-05,0.0,Signed 16 bit PCM,2048,"(485377,)"
61025001,Non-Target,Atlantic Spotted Dolphin,1.0,3.5280045351473923,44100,1,-0.16809082,0.0,Signed 16 bit PCM,2048,"(155585,)"
61025002,Non-Target,Atlantic Spotted Dolphin,1.0,3.5280045351473923,44100,1,-0.012268066,0.0,Signed 16 bit PCM,2048,"(155585,)"
61025003,Non-Target,Atlantic Spotted Dolphin,1.0,3.5280045351473923,44100,1,0.0663147,0.0,Signed 16 bit PCM,2048,"(155585,)"
61025004,Non-Target,Atlantic Spotted Dolphin,0.99298096,1.7639909297052154,44100,1,-0.0770874,0.0,Signed 16 bit PCM,2048,"(77792,)"
61025006,Non-Target,Atlantic Spotted Dolphin,0.9999695,1.7639909297052154,44100,1,-0.04486084,0.0,Signed 16 bit PCM,2048,"(77792,)"
61025007,Non-Target,Atlantic Spotted Dolphin,0.9875183,1.7639909297052154,44100,1,-0.04360962,0.0,Signed 16 bit PCM,2048,"(77792,)"
61025008,Non-Target,Atlantic Spotted Dolphin,0.9999695,3.5280045351473923,44100,1,0.034088135,0.0,Signed 16 bit PCM,2048,"(155585,)"
